회사명,공장주소(도로명),공장주소(지번),업종명,전화번호,종업원수(총인원),생산품,원자재
(주)제일보링,"경기도 포천시 내촌면 부마로503번길 20, 가동, 다동 외 1필지","경기도 포천시 내촌면 진목리 709-3 가동, 다동 외 1필지",건설.광업용 기계 및 장비 수리업,031-528-4141,10,건설기계정비(수리업),철재판 등(후문문짝)
(주)제일스티로폴,경기도 포천시 화현면 금강로 4035-19 외 5필지,경기도 포천시 화현면 화현리 265 외 5필지,폴리스티렌 발포 성형제품 제조업 외 1 종,031-533-4441,30,스티로폴,EPS(좁쌀형태)
(주)제일퍼니처,경기도 포천시 내촌면 부마로282번길 100,경기도 포천시 내촌면 마명리 120-10번지,기타 목재가구 제조업,031-533-2566,18,사무용탁자,
(주)제일화성,경기도 포천시 가산면 정금로255번길 4-50,경기도 포천시 가산면 금현리 730번지,표면처리 및 적층 직물 제조업,031-544-7040,24,pu-Leather,
(주)조원산업,경기도 포천시 영중면 가영로535번길 7,경기도 포천시 영중면 영송리 495-1번지,유기질 비료 및 상토 제조업 외 1 종,031-532-0144,15,비료,
(주)종화벤드,경기도 포천시 내촌면 부마로 236,경기도 포천시 내촌면 마명리 317번지,그 외 기타 분류 안된 금속 가공 제품 제조업,031-529-1034,16,밴드(엘보) 수도공구,
(주)주승메탈,경기도 포천시 가산면 정교2길 80 외 1필지,경기도 포천시 가산면 정교리 424번지 외 1필지,"동 압연, 압출 및 연신제품 제조업",031-542-3016,7,"동선가공, 연선제조",
(주)주춧돌,경기도 포천시 영중면 금화봉길 330,경기도 포천시 영중면 거사리 805-1,건설용 석제품 제조업,031-858-8835,7,조경석,포천석 원석
(주)준흥필터,경기도 포천시 동교로 20 (동교동) 외 1필지,경기도 포천시 동교동 419-21 외 1필지,액체 여과기 제조업,031-541-7111,62,여과기,여과지
(주)중원,경기도 포천시 아랫용상1길 9 -36(소흘읍),경기도 포천시 소흘읍 이동교리 112-8,기타 인쇄업,031-829-8521,14,포장필름,
(주)지니어스,"경기도 포천시 소흘읍 소흘로 259-66, 나동",경기도 포천시 소흘읍 이가팔리 526번지 나동,액체 펌프 제조업,031-535-3073,5,요소수 주입기,"sus304, sts"
(주)지드림,경기도 포천시 마현길 12 (가산면) 나동,경기도 포천시 가산면 마산리 280-1 나동,"치약, 비누 및 기타 세제 제조업",02-454-1295,2,주방세제,
(주)지붕,경기도 포천시 일동면 길명리 519-15 외 1필지,경기도 포천시 일동면 길명리 519-15 외 1필지,주방용 및 음식점용 목재가구 제조업 외 1 종,02-555-3015,13,주방가구 및 일반가구,PB(파티컬보드) 및 MDF
(주)지앤시텍,경기도 포천시 해룡로 109 -66(설운동) 1층,경기도 포천시 설운동 588-5 1층,연사 및 가공사 제조업,031-859-4380,10,"장갑,원사","원사(나이론,폴리에스터,강력사,제전사등)"
(주)지에스정밀,경기도 포천시 창수면 추동리 391,경기도 포천시 창수면 추동리 391,"기타 비철금속 압연, 압출 및 연신 제품 제조업",031-541-2045,11,스텐관,"스텐레스, 코일"
(주)지에이치엘,경기도 포천시 내촌면 금강로2110번길 38,경기도 포천시 내촌면 음현리 344,가정용 전기 난방기기 제조업,031-575-7390,17,온열매트 등,"견면,스펀지,열선,전기부자재류 등"
(주)지오플렉스,경기도 포천시 영중면 영일로 215-57 외 1필지,경기도 포천시 영중면 금주리 1061-16번지 외 1필지,플라스틱 접착처리 제품 제조업 외 1 종,031-543-6035,10,열전사필름,"PVC필름, PET필름,HOT MELT필름"
(주)지오플렉스,경기도 포천시 영중면 영일로 215-58,경기도 포천시 영중면 금주리 1061-50번지,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",031-543-6035,10,코팅 열전사필름 반제품,"필름, 혼합 폴리우레탄수지, 메트"
(주)지온,"경기도 포천시 군내면 반월산성로317번길 151, 다동, 마동","경기도 포천시 군내면 상성북리 179-2 다동, 마동",액체 여과기 제조업 외 8 종,031-559-6033,5,"수처리용 여과재, 상향류식여과장치, 중력식여과장치,오수처리용산기장치,하수처리장덮개(SMC,알루미늄)","폴리우레탄, STS,SS제의 철재,강관,강판,FRP,PE,PP 등"
(주)진경,경기도 포천시 소흘읍 아랫용상2길 10,경기도 포천시 소흘읍 이동교리 122-9번지,플라스틱 창호 제조업,031-544-9901,12,플라스틱창호,플라스틱바
(주)진보상사,경기도 포천시 가산면 정금로 422,경기도 포천시 가산면 금현리 114-1번지,연사 및 가공사 제조업,031-543-6953,10,스판덱스 카바링사,"스판덱스사,나일론사"
(주)진생사이언스,경기도 포천시 소흘읍 호국로 456-51 (총 2 필지) 외 1필지,경기도 포천시 소흘읍 이동교리 67-17번지 외 1필지,인삼식품 제조업,031-542-6480,10,인삼제품,
(주)진성건업,경기도 포천시 영일로 266 (일동면),경기도 포천시 일동면 길명리 808-8,구조용 금속 판제품 및 공작물 제조업,031-533-6533,8,건축용 철골조,"H빔, 형강"
(주)진성메탈,경기도 포천시 소흘읍 호국로484번길 18-31,경기도 포천시 소흘읍 이동교리 64-7번지,일반철물 제조업,031-541-2462,9,"가방고리,바클등",
(주)진솔섬유,경기도 포천시 설운동 98,경기도 포천시 설운동 98,편조원단 제조업,031-543-9350,4,원단편조,"폴리에스테르 필름, DTY"
(주)진영석재,경기도 포천시 창수면 금화봉길 104 외 1필지,경기도 포천시 창수면 가양리 404-10번지 외 1필지,건설용 석제품 제조업 외 1 종,031-534-0061,9,건축용판석,석재
(주)진우엔지니어링,"경기도 포천시 부마로469번길 30-1, (마명리 17번지) (내촌면)",경기도 포천시 내촌면 마명리 17번지 (마명리 17번지),그 외 기타 특수목적용 기계 제조업 외 1 종,031-531-4430,4,"압출성형기계, PE플라스틱관","각종철자재, PE.PP원료"
(주)진조미식품,경기도 포천시 호국로1315번길 24 (어룡동) 외 2필지,경기도 포천시 어룡동205-14 외 2필지,천연 및 혼합조제 조미료 제조업 외 1 종,031-535-3241,34,"고추장, 회양념고추장","고추분, 물엿, 미원"
(주)진호,경기도 포천시 창수면 옥수로 183 외 1필지,경기도 포천시 창수면 주원리 362-2번지 외 1필지,편조원단 제조업,031-534-2272,12,나일론,"나일론, 스판, 아스테히드 등"
(주)창덕비료,경기도 포천시 영북면 북원로 148-14 외 1필지,경기도 포천시 영북면 자일리 676번지 외 1필지,복합비료 및 기타 화학비료 제조업 외 1 종,031-532-5802,3,유기질 비료,
(주)창인인테리어,경기도 포천시 금강로 2768 -90(내촌면),경기도 포천시 내촌면 소학리 194-3,기타 목재가구 제조업,031-531-5092,0,장식장,
(주)챔피온,경기도 포천시 내촌면 금강로2753번길 19-23,경기도 포천시 내촌면 소학리 168-9번지,기타 가정용 전기기기 제조업 외 1 종,02-2038-4474,14,안마기,
(주)천수,경기도 포천시 가산면 메나리길 117-3,경기도 포천시 가산면 방축리 157-4번지,전분제품 및 당류 제조업,031-544-4810,1,"동부앙금,도토리앙금,동부","동부,도토리"
(주)천연기업,경기도 포천시 금화봉길 204 (창수면),경기도 포천시 창수면 가양리 85-0,건설용 석제품 제조업,031-534-9630,3,경계석,화강석
(주)천일에너지,경기도 포천시 영중면 양문리 361,경기도 포천시 영중면 양문리 361,표면 가공 목재 및 특정 목적용 제재목 제조업,031-8089-8100,7,폐목재고형연료(Bio-srf),"폐목재,톱밥"
(주)천지인,경기도 포천시 가산면 메나리1길 28,경기도 포천시 가산면 방축리 181-16번지,플라스틱 필름 제조업 외 2 종,031-536-8853,7,"PVC데코시트, 합성수지인테리어필름","종이원단, 플라스틱 필름"
(주)청완,경기도 포천시 가산면 가산리 374번지 374-1번지,경기도 포천시 가산면 가산리 374번지 374-1번지,기타 건축용 플라스틱 조립제품 제조업 외 2 종,031-543-0025,33,건축용플라스틱제품,플라스틱
(주)청완산업,경기도 포천시 가산면 마정로 284,경기도 포천시 가산면 정교리 143-4번지,기타 건축용 플라스틱 조립제품 제조업,031-871-8195,26,FD SLEEVE SEZTIA,P.P
(주)청우냉열,경기도 포천시 송선로149번길 4 (설운동),경기도 포천시 설운동 267-8번지,산업용 냉장 및 냉동 장비 제조업,031-541-6222,45,쇼케이스냉장고,철재
(주)청우식품,경기도 포천시 영중면 먼재길 129 외 1필지,경기도 포천시 영중면 양문리 33-1 외 1필지,과자류 및 코코아 제품 제조업,031-532-8180,210,"비스켓,캔디","비스켓,캔디"
(주)청우식품,"경기도 포천시 영북면 호국로3620번길 17 , -9번지 외 1필지","경기도 포천시 영북면 야미리 188-6 , -9번지 외 1필지",과자류 및 코코아 제품 제조업,031-536-2235,63,"과자류, 기타식품류",중력분
(주)청우식품,경기도 포천시 군내면 용정경제로1길 56,경기도 포천시 군내면 용정리 484-3,과자류 및 코코아 제품 제조업,031-532-8180,90,"비스킷류, 과자류, 캔디류","밀가루, 설탕, 쌀, 물엿, 우유, 마가린 등"
(주)청정마을사람들,경기도 포천시 일동면 수입로291번길 5,경기도 포천시 일동면 수입리 631-10번지,김치류 제조업 외 1 종,031-535-5507,6,절임,
(주)초록에,경기도 포천시 군내면 반월산성로 354-19,경기도 포천시 군내면 구읍리 770-12번지,기타 식품 첨가물 제조업,031-577-4228,3,"천일염,꽃소금",소금
(주)카이로스,경기도 포천시 영북면 호국로3620번길 21 외 1필지,경기도 포천시 영북면 야미리 188-7번지 외 1필지,부직포 및 펠트 제조업 외 2 종,031-532-8657,6,"수성용 부직포,LCD용필름",FIBER
(주)칼라아트,"경기도 포천시 소흘읍 아랫용상2길 25-45, D동",경기도 포천시 소흘읍 이동교리 196-8번지 D동,구조용 금속 판제품 및 공작물 제조업 외 1 종,02-2214-2333,7,"스마트채널사인,아크릴간판 등",
(주)칼텍바이오,경기도 포천시 무봉로 61 (소흘읍),경기도 포천시 소흘읍 무봉리 549-1,기타 식품 첨가물 제조업 외 3 종,031-541-7384,6,"산호 및 패각 칼슘분말, 탈취제","산호, 패각, 미생물배양"
(주)캠코리아,"경기도 포천시 가산면 시우동길 110-19, 바동",경기도 포천시 가산면 가산리 382-1번지 바동,기타 조명장치 제조업 외 5 종,031-542-3100,4,"소방용랜턴,산소통금속세척기",
(주)케이.피.씨,경기도 포천시 군내면 청군로 3072,경기도 포천시 군내면 직두리 538번지,기타 음향기기 제조업,031-536-0311,17,스피커진동판,
(주)케이로비니아,"경기도 포천시 가산면 마정로69번길 13-14, 에이동",경기도 포천시 가산면 마산리 296 에이동,놀이터용 장비 제조업,031-535-6562,3,목재 놀이터 제작,북유럽산 로비니아 목재
(주)케이바디테크,경기도 포천시 소흘읍 초가팔로1길 23,경기도 포천시 소흘읍 초가팔리 229-4,기타 목재가구 제조업,031-544-4479,4,"편백나무사우나기, 편백가구, 좌욕기, 반식욕기, 족욕기 외","목재(편백나무, 뉴송 등)"
(주)케이보은제약,경기도 포천시 신북면 장자경제로 114,경기도 포천시 신북면 신평리 673-18번지,"치약, 비누 및 기타 세제 제조업 외 2 종",031-536-7990,12,치약,원료
(주)케이앤에스테크,경기도 포천시 가산면 시우동길 80-2 가동,경기도 포천시 가산면 가산리 453-4 가동,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",031-542-1772,1,"신축이음장치,난간,교좌장치,금속문,조형물 등","패널,파이프,철판,판재 등"
(주)케이에스에프,경기도 포천시 군내면 용정경제로1길 48-55,경기도 포천시 군내면 용정리 484-20,기타 과실ㆍ채소 가공 및 저장 처리업,031-531-9920,10,유자차,유자
(주)케이엔씨,경기도 포천시 신북면 장자경제로 151-2,경기도 포천시 신북면 신평리 680번지,"직물, 편조원단 및 의복류 염색 가공업",031-532-1625,8,"리본원단, 직물, 염가공",
(주)케이엠가구,경기도 포천시 가산면 가산로 174 외 1필지,경기도 포천시 가산면 방축리 106-4번지 외 1필지,기타 목재가구 제조업,031-543-6553,29,목재가구,M.D.F합판
(주)케이프로시스템,"경기도 포천시 자작로 155, 310호 (자작동)",경기도 포천시 자작동 588-4 310호,무인 항공기 및 무인 비행장치 제조업,02-6956-8878,16,드론(무인항공기),카본
(주)코마스텍,경기도 포천시 신북면 장자경제로 102,경기도 포천시 신북면 신평리 673-21,기타 직물제품 제조업,031-532-4100,8,일회용마스크,부직포
(주)코스모스,"경기도 포천시 가산면 마현4길 1, 가,나동 (가산면)","경기도 포천시 가산면 금현리 385-4번지 가,나동",기타 목재가구 제조업 외 1 종,031-534-4997,5,가구,"PB,MDF"
(주)코이나식품,경기도 포천시 화현면 봉화로 475-85,경기도 포천시 화현면 명덕리 355-4,전분제품 및 당류 제조업,031-531-9490,3,"감자전분, 메밀가루","감자전분, 메밀"
(주)코템,"경기도 포천시 일동면 화동로599번길 30-48,  가동",경기도 포천시 일동면 유동리 447-1번지 가동,액체 여과기 제조업,031-463-3069,7,닥트/액채여과기,sts304(스테인리스)
(주)크라운엔지니어링,경기도 포천시 내촌면 매봉1길 13 (총 2 필지) 외 1필지,경기도 포천시 내촌면 음현리 493번지 외 1필지,음ㆍ식료품 및 담배 가공기계 제조업,031-532-3700,65,음식품가공기계,
(주)크린에코,경기도 포천시 내촌면 내리 171-7,경기도 포천시 내촌면 내리 171-7,그 외 기타 플라스틱 제품 제조업,031-527-1079,14,위생장갑,비닐원단
(주)크린텍개발,경기도 포천시 자작로 111 (자작동) 1층,경기도 포천시 자작동 526-20 1층,비내화 모르타르 제조업,02-413-8783,2,아쿠아크리트 세라믹몰탈,"무기질 세라믹 바인더, 실리카샌드, 규회석 등 "
