È¸»ç¸í,¾÷Ã¼À¯Çü,¾÷Á¾¸í,»ý»êÇ°,ÀüÈ­¹øÈ£,ÆÑ½º¹øÈ£,¼ÒÀçÁöÁö¹øÁÖ¼Ò,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,µ¥ÀÌÅÍ±âÁØÀÏ
(ÁÖ)ÅÂ¼º»ê¾÷,¹ýÀÎ,Æ÷Àå¿ë ÇÃ¶ó½ºÆ½ ¼ºÇü¿ë±â Á¦Á¶¾÷ ¿Ü 1 Á¾,"È­ÀåÇ°¿ë±â, ÇÃ¶ó½ºÆ½(Áø´ÜÅ°Æ®)Áø´Ü±â",031-421-0864,031-421-9744,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1275¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 64-24 (ºÎ°îµ¿),2025-09-15
(ÁÖ)ÅÂ¼ºÀÌ¿£Áö,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,CCTV °ü·Ã±â±¸,031-8086-8193,031-687-8793,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Bµ¿ 9Ãþ B-903È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Bµ¿ 9Ãþ B-903È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®) ¿Ü 1ÇÊÁö",2025-09-15
(ÁÖ)ÅÂ¿µ¿þÀÌºê,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"±¤Áß°è±â, ±¤RF¸ðµâ",031-689-5816,031-689-5820,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 101µ¿ 8Ãþ 805È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 101µ¿ 8Ãþ 805È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò) 101µ¿ 805È£",2025-09-15
(ÁÖ)ÅÂ¿µÄÍ,¹ýÀÎ,ÀÎ¼âÀ×Å© ¹× È¸È­¿ë ¹°°¨ Á¦Á¶¾÷,±×¶óºñ¾î À×Å©,031-0458-5111,031-0452-6808,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 327-10¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î60¹ø¾È±æ 4-2 (´çÁ¤µ¿),2025-09-15
(ÁÖ)ÅÂÀÏ½Ã½ºÅÛ,¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,"¹«Á¤ÀüÀü¿øÀåÄ¡, ÀÚµ¿Àü¾ÐÁ¶Á¤±â ¿Ü",031-452-2701,031-452-2702,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 258-6 1Ãþ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î45¹ø±æ 151, 1Ãþ ÀÏºÎ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)ÅÂÀÏÀÚµ¿Á¦¾î,¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 3 Á¾,"¹«Á¤Àü Àü¿øÀåÄ¡(UPS), AVR",031-451-2701,031-456-4283,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 231-7 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã ±¸±ºÆ÷2±æ 4, 1Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)ÅÂÁØÀüÀÚ,¹ýÀÎ,"Àü±âÈ¸·Î °³Æó, º¸È£ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾",connector°ü·ÃÀüÀÚºÎÇ°,031-451-3592,031-451-3598,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 188¹øÁö ¿¹¼ºÆåÅä¸µ 5Ãþ 502È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 223, 5Ãþ 502È£ (±ÝÁ¤µ¿, ¿¹¼ºÆåÅä¸µ)",2025-09-15
(ÁÖ)ÅÂÆò¾çÁöÆÛ,¹ýÀÎ,´ÜÃß ¹× À¯»ç ÆÄ½º³Ê Á¦Á¶¾÷,ÇÃ¶ó½ºÆ½ÁöÆÛ,031-459-1006,031-459-5333,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 324-11¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 49 (´çÁ¤µ¿, (ÁÖ)ÅÂÆò¾çÁöÆÛ)",2025-09-15
(ÁÖ)ÅÂÈ­¿¥ÅØ,¹ýÀÎ,±Ý¼Ó Àý»è±â°è Á¦Á¶¾÷,ÀÚµ¿È­±â°èºÎÇ°,031-479-7511,031-479-7513,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, B05È£ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)Å×Æ®¶ó,¹ýÀÎ,ÄÄÇ»ÅÍ Á¦Á¶¾÷ ¿Ü 5 Á¾,ÄÅÇ»ÅÍ Á¦Á¶¾÷ ¿Ü 3Á¾,02-2202-0503,02-716-3313,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 1026-19 ±Ý»êºôµù 4Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 161, 4Ãþ(»êº»µ¿, ±Ý»êºôµù)",2025-09-15
(ÁÖ)ÅØÄÞ,¹ýÀÎ,±âÅ¸ °¡Á¤¿ë Àü±â±â±â Á¦Á¶¾÷ ¿Ü 7 Á¾,"(¿ÏÁ¦Ç°)Ã»¼Ò±â·ù,¿Ü,¼ÛÇ³±â,¼Òµ¶±â,¹°ºê·¯½ÃÃ»¼Ò±â",031-456-4031,031-456-4030,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 435-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã °í»ê·Î126¹ø±æ 5 (´çÁ¤µ¿),2025-09-15
(ÁÖ)ÅÚ·¹¸Æ½º,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,±¤Àü¼Û Àåºñ,031-477-5263,031-477-5262,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ 6Ãþ 608È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 6Ãþ 608È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
(ÁÖ)Åä¹Ù,¹ýÀÎ,±× ¿Ü ±âÅ¸ ºÐ·ù ¾ÈµÈ ±Ý¼Ó °¡°ø Á¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,ÀüÀÚÆÄ Â÷Æó(EMI) °ü·Ã ÀüÀÚºÎÇ° (°¡½ºÄÏ µî),031-448-3370,031-448-3371,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 331-4¹øÁö 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø¾È±æ 30, 3Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)ÅäÅä¹ÌÆ®¿ø,¹ýÀÎ,À°·ù ±âÅ¸ °¡°ø ¹× ÀúÀåÃ³¸®¾÷ (°¡±Ý·ù Á¦¿Ü) ¿Ü 1 Á¾,Ãà»ê¹° °¡°øÇ°,031-451-0522,031-451-0508,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-32¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 47-11 (´çÁ¤µ¿),2025-09-15
(ÁÖ)ÅäÆ÷½ÇÅ©ÄÚ¸®¾Æ,¹ýÀÎ,±âÅ¸ ÆíÁ¶ÀÇº¹ ¾×¼¼¼­¸® Á¦Á¶¾÷,"³ØÅ¸ÀÌ,½ºÄ«ÇÁ,ÀÇ·ù",031-456-8211,031-456-7101,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1¹øÁö ÇÑ¼ÖÅ×Å©³ëÅ¸¿î 6Ãþ 606È£,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 6Ãþ 606È£ (´çÁ¤µ¿, ÇÑ¼ÖÅ×Å©³ëÅ¸¿î)",2025-09-15
(ÁÖ)ÅëÀÏ¿­Ã³¸®,¹ýÀÎ,±Ý¼Ó ¿­Ã³¸®¾÷,½ºÅ×ÀÎ·¹½º ÁÖ¸§°ü,031-429-9901,031-459-4563,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 150-15¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î54¹ø¾È±æ 12 (´çÁ¤µ¿),2025-09-15
(ÁÖ)Æ®·ç¿ÍÀÌµå,¹ýÀÎ,ÀÏ¹Ý¿ë Àü±â Á¶¸íÀåÄ¡ Á¦Á¶¾÷,"Controller BD, LED Á¶¸í",031-455-0604,031-455-0614,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ 4Ãþ 405È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 4Ãþ 405È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
(ÁÖ)Æ®¸®ÇÃ´å,¹ýÀÎ,È­ÀåÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,"È­ÀåÇ°, ³×ÀÏÁ¦Ç°, ÇÃ¶ó½ºÆ½ºÎÇ°",070-4042-6895,031-429-6895,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3 ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ 1µ¿ 10Ãþ 1012È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 1µ¿ 10Ãþ 1012È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ) ¿Ü 5ÇÊÁö",2025-09-15
(ÁÖ)Æ¼¾ÆÀÌ¿¡½ºÅ×Å©³î·¯Áö,¹ýÀÎ,ÀüÀÚºÎÇ° ½ÇÀå±âÆÇ Á¦Á¶¾÷,ÀüÀÚºÎÇ° ÀÓ°¡°ø,031-687-8764,031-687-8794,"°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 177-1 Ã»¿ìºôµù 2Ãþ, 3Ãþ","°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î 22, 2Ãþ, 3Ãþ(±ÝÁ¤µ¿, Ã»¿ìºôµù)",2025-09-15
(ÁÖ)Æ¼¾ØÆ¼ÀÌ¾ØÁö,¹ýÀÎ,±â±â¿ë ÀÚµ¿ÃøÁ¤ ¹× Á¦¾îÀåÄ¡ Á¦Á¶¾÷,"Àü±â ¹× ÀÚµ¿Á¦¾îÀåÄ¡, °èÀå°èÃø±â, ÀÚµ¿Á¦¾î¹Ý",031-393-1725,031-624-9925,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-43 ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52 (´çÁ¤µ¿) ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷,2025-09-15
(ÁÖ)Æ¼¿¡ÀÌÄ¡¿£,¹ýÀÎ,Àý¿¬ ÄÚµå¼¼Æ® ¹× ±âÅ¸ µµÃ¼ Á¦Á¶¾÷,"ÀÚµ¿Â÷ºÎÇ°(¿ÍÀÌ¾î ÇÏ³×½º, Á¤¼±¹Ú½º ¿Ü)",031-460-8611,031-454-3008,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1234-1¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷1·Î 25-11 (ºÎ°îµ¿),2025-09-15
(ÁÖ)Æ¼¿¡ÇÁ¿£¾¾,¹ýÀÎ,"ÀüÀÚ±â ÃøÁ¤, ½ÃÇè ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷",¹èÅÍ¸® Ãæ¹æÀü ½Ã½ºÅÛ ,031-462-1114,,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1243-3 2Ãþ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 66, 2Ãþ ÀÏºÎ (ºÎ°îµ¿)",2025-09-15
(ÁÖ)Æ¼Á¦ÀÌÅØ,¹ýÀÎ,ÀüÀÚºÎÇ° ½ÇÀå±âÆÇ Á¦Á¶¾÷ ¿Ü 30 Á¾,"Åë½Å±â±âµî ³»Àå¿ë PCB ASS'Y ¹× ÀüÀÚºÎÇ°, ±º¿ë ÃæÀü±â",031-453-0144,031-453-8353,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿694-29¹øÁö,"°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î 25,´Ù¼Ûºôµù 3Ãþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)Æ¼Æ¼À¯,¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,ÀÎ¹öÅÍ,031-360-6974,031-8068-1369,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Bµ¿ 1403È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Bµ¿ 1403È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)Æ¼ÇÇ¿¥¿¡½º,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷ ¿Ü 4 Á¾,"ÀüÀÚ±â±â °Ë»ç¿ë °èÃø±â, °Ë»ç¿ë Áö±×, ºí·¢¹Ú½º º¸Á¶ ¹èÅÍ¸®",031-436-0436,031-436-0437,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 104µ¿ 3Ãþ 302~304È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 3Ãþ 302~304È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò) 104µ¿ 302~304È£",2025-09-15
(ÁÖ)ÆÁÅ¾,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷ ¿Ü 1 Á¾,"±ÝÇü, ÅÚ·¹ºñÀü ºÎÇ°, SPACER GASKET ¿Ü",031-429-8430,031-429-8431,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 78-5¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î48¹ø±æ 10-17, 1Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)ÆÄ³«½º³×ÀÌÃ³ÆÊ,¹ýÀÎ,±âÅ¸ ½ÄÇ° Ã·°¡¹° Á¦Á¶¾÷ ¿Ü 4 Á¾,"°úÀÏÀ½·á, ÀÎ, È«»ïÀ½·á, ¼Ò½º·ù, ºÐ¸»·ù",,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 93-5 ±ÝºÀÅ×Å©³ëº§¸® 501È£,"°æ±âµµ ±ºÆ÷½Ã °í·¡µé±æ 56, 501È£(´çÁ¤µ¿, ±ÝºÀÅ×Å©³ëº§¸®)",2025-09-15
(ÁÖ)ÆÄ¶ó°ï,¹ýÀÎ,±â±â¿ë ÀÚµ¿ÃøÁ¤ ¹× Á¦¾îÀåÄ¡ Á¦Á¶¾÷,ÀÚµ¿Á¦¾î ½Ã½ºÅÛ ¹× Á¦¾î¹Ý,031-427-2563,031-427-2564,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 188 ¿¹¼ºÆÑÅä¸µ 303-2È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 223, 303-2È£(±ÝÁ¤µ¿, ¿¹¼ºÆÑÅä¸µ)",2025-09-15
(ÁÖ)ÆÄ¿À½º,¹ýÀÎ,"Ä¡¾à, ºñ´© ¹× ±âÅ¸ ¼¼Á¦ Á¦Á¶¾÷","(¿ÏÁ¦Ç°)È­Àåºñ´©,°¡·çºñ´©,ÀÇ·ù¿ëÇÕ¼º¼¼Á¦",031-453-6860,031-451-8528,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 377-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î77¹ø±æ 37 (´çÁ¤µ¿),2025-09-15
(ÁÖ)ÆÄ¿ö¿¡ÇÁ¿¡ÀÌ,¹ýÀÎ,»ê¾÷¿ë ·Îº¿ Á¦Á¶¾÷,¹ÝµµÃ¼ ÀÚµ¿È­Àåºñ¿ë ºÎÇ°,031-477-8879,,"°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-61¹øÁö 1, 2, 3, 5Ãþ","°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 10-16, 1, 2, 3, 5Ãþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)ÆÄÀÎÅØ,¹ýÀÎ,±âÅ¸ Á÷¹°Á¦Ç° Á¦Á¶¾÷,(¿ÏÁ¦Ç°)¹æÁø¸¶½ºÅ©,031-429-2042,031-429-2044,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1070 ÁÖ½ÄÈ¸»ç ÆÄÀÎÅØ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î160¹ø±æ 18(´çÁ¤µ¿, ÁÖ½ÄÈ¸»ç ÆÄÀÎÅØ)",2025-09-15
(ÁÖ)ÆÄÆ®³ÊÅë»ó,¹ýÀÎ,±âÅ¸ Á÷¹°Á¦Ç° Á¦Á¶¾÷ ¿Ü 8 Á¾,"¸¶½ºÅ©, ÀÇ·ù",031-443-6067,031-443-6067,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 1-19¹øÁö 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 36, 2Ãþ (»êº»µ¿)",2025-09-15
(ÁÖ)ÆÇ´Ù±×·¥,¹ýÀÎ,±âÅ¸ Á÷¹°Á¦Ç° Á¦Á¶¾÷,"¸¶½ºÅ©,ÇÊÅÍ",02-3465-2140,02-3465-2124,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 342-1¹øÁö 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î 89, 2Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)ÆÇ´Ù±×·¥,¹ýÀÎ,±âÅ¸ Á÷¹°Á¦Ç° Á¦Á¶¾÷,"¸¶½ºÅ©,ÇÊÅÍ",02-3465-2140,02-3465-2124,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 360-1¹øÁö 1Ãþ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î85¹ø±æ 13, 1Ãþ ÀÏºÎ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)ÆÇ´Ù±×·¥,¹ýÀÎ,±âÅ¸ Á÷¹°Á¦Ç° Á¦Á¶¾÷,"¸¶½ºÅ©, ÇÊÅÍ",02-3465-2140,02-581-3314,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 342-0,°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø±æ 3 (´çÁ¤µ¿) 3Ãþ,2025-09-15
(ÁÖ)ÆÈº¹½Ã½ºÅÛ,¹ýÀÎ,"¿ë±â ¼¼Ã´, Æ÷Àå ¹× ÃæÀü±â Á¦Á¶¾÷",ÇÖ¸áÆ®-ÀÚµ¿ºÐ»ç-Á¢Âø±â°è,031-456-4190,031-456-4191,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 325-5¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 62, 2,3Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)ÆÐ½º³Ý,¹ýÀÎ,±³Åë ½ÅÈ£ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 13 Á¾,"±³Åë½ÅÈ£ÀåÄ¡, ¹æ¼ÛÀåºñ, À¯¼±Åë½ÅÀåºñ, ±âÅ¸¹«¼±Åë½ÅÀåºñ, ºñµð¿À¹×±âÅ¸¿µ»ó±â±â, ÄÄÇ»ÅÍ Á¦Á¶¾÷¿Ü 5Á¾",02-1544-3254,050-5388-4080,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 1026-51¹øÁö ´ë¿µÅ¸¿ö 2Ãþ 201È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 356-51, 2Ãþ 201È£ (»êº»µ¿, ´ë¿µÅ¸¿ö)",2025-09-15
"(ÁÖ)ÆÐ½º³Ý (1209,1210È£)",¹ýÀÎ,±³Åë ½ÅÈ£ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 11 Á¾,"È¾´Üº¸µµ ¾ÈÀü ´ë±â ÀåÄ¡, ÀÎ¼â¹°, °¨½Ã½Ã½ºÅÛ(CCTV), Á¶¸íÁ¦¾îÀåÄ¡, Åë½Å±â±â èâ",ARS-1544-3254,0505-388-4080,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1246 1209È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î7¹ø±æ 8, 1209È£(ºÎ°îµ¿) ¿Ü 1ÇÊÁö",2025-09-15
(ÁÖ)ÆÛ½¼¸ÞµðÄ®,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,ÀÇ·á¿ë±â±â,031-459-7152,031-459-7156,°æ±âµµ ±ºÆ÷½Ã µµ¸¶±³µ¿ 492-4,°æ±âµµ ±ºÆ÷½Ã ¼ÛºÎ·Î22¹ø±æ 17 (µµ¸¶±³µ¿),2025-09-15
(ÁÖ)Æäºí¾ÆÀÌ,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,ÀÇ·á¿ë ¸é¿ªÈí±¤ÃøÁ¤ÀåÄ¡,031-687-8200,031-687-8730,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42 5Ãþ 506È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 5Ãþ 506È£(´çÁ¤µ¿)",2025-09-15
(ÁÖ)Æä¾îÅ×Å©,¹ýÀÎ,±âÅ¸ Àý¿¬¼± ¹× ÄÉÀÌºí Á¦Á¶¾÷,³»¿­Àü¼± ¹× È÷ÆÃÄÉÀÌºí,031-448-1333,031-448-1332,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-8,°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 31 (»êº»µ¿),2025-09-15
(ÁÖ)ÆäÆ®¶ó»ê¾÷¸ðµ¨,¹ýÀÎ,±âÅ¸ °¡°ø °øÀÛ±â°è Á¦Á¶¾÷ ¿Ü 2 Á¾,"ÀÚµ¿Â÷ºÎÇ°°Ë»ç±¸, Àü±âÀåºñÁ¦Á¶,ÀüÀÚºÎÇ°°¡°ø",031-459-0360,031-457-9242,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 113¹øÁö,°æ±âµµ ±ºÆ÷½Ã ¸¼Àº³»1±æ 85 (´çÁ¤µ¿),2025-09-15
(ÁÖ)Æ÷ÀÎÆ®ÀÌ¿£Áö,¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,¹«Á¤ÀüÀü¿ø°ø±ÞÀåÄ¡(UPS),031-360-8488,031-360-8451,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 14-1 ¾ÆÀÌ¹ë¸® ±ºÆ÷ 1µ¿ ÁöÇÏ1Ãþ Áö-104È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 149, 1µ¿ ÁöÇÏ1Ãþ Áö-104È£(´çµ¿, ¾ÆÀÌ¹ë¸® ±ºÆ÷)",2025-09-15
(ÁÖ)Æú¶ó¸®½º(437È£),¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷,"PCL Panel, Local Control Panel",031-399-2089,031-624-5975,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1246 ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸® 1µ¿ 4Ãþ 437È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î7¹ø±æ 8, 1µ¿ 4Ãþ 437È£(ºÎ°îµ¿, ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸®)",2025-09-15
(ÁÖ)Æú¸®¸â,¹ýÀÎ,¾×Ã¼ ¿©°ú±â Á¦Á¶¾÷,Á¤¼ö±â¿ë UFÇÊÅÍ,031-457-2363,031-457-2364,°æ±âµµ ±ºÆ÷½Ã µµ¸¶±³µ¿ 491-2,°æ±âµµ ±ºÆ÷½Ã ¼ÛºÎ·Î34¹ø±æ 18 (µµ¸¶±³µ¿),2025-09-15
(ÁÖ)Çªµå¸¶·ç,¹ýÀÎ,µµ½Ã¶ô·ù Á¦Á¶¾÷ ¿Ü 1 Á¾,¸¸µÎ,031-451-6100,031-453-7100,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-31¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 9-8, 3Ãþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)ÇªµåÀ©,¹ýÀÎ,µµ½Ã¶ô·ù Á¦Á¶¾÷ ¿Ü 1 Á¾,µµ½Ã¶ô Á¦Á¶,031-452-8740,031-452-8741,"°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 14-1 ¾ÆÀÌ¹ë¸® ±ºÆ÷ 105~107, 207~209, 404È£","°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 149, 105~107, 207~209, 404È£(´çµ¿, ¾ÆÀÌ¹ë¸® ±ºÆ÷)",2025-09-15
(ÁÖ)Çª¸§ÄÉÀÌµð,¹ýÀÎ,ÀüÀÚÀúÇ×±â Á¦Á¶¾÷ ¿Ü 4 Á¾,"Ã¶µµÂ÷·® ÀüÀÚºÎÇ°, È¸»ýÀ¯´ÖIPU, ÀÎ¹öÅÍ",031-687-8770,031-687-8737,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1066-2¹øÁö 150,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 148, 150 (´çÁ¤µ¿)",2025-09-15
