회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품,주원자재
(주)플로우온,"경기도 의왕시 오봉산단1로 12, 1동 4층 412,413호(이동)","경기도 의왕시 이동 732 1동 4층 412,413호",액체 펌프 제조업,031-360-5571,031-360-5572,5,액체 펌프,"스테인레스 주물, 세라믹"
(주)피에스티에이치,"경기도 의왕시 경수대로 257, 7층 8호 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 7층 8호,반도체 제조용 기계 제조업,031-450-6818,031-450-6819,4,반도체제조용장비,
(주)피엔시스,"경기도 의왕시 한밭들1길 11, b동 3층 5호 (고천동)",경기도 의왕시 고천동 332-33번지 성우벤처빌아파트형공장 b동 3층 5호,"전자기 측정, 시험 및 분석기구 제조업",031-477-4772,031-477-4782,6,전기전자계측시험기,
(주)피엠그로우,경기도 의왕시 이미로 40 (포일동) 씨동 2층 205호,경기도 의왕시 포일동 653-0 씨동 2층 205호,축전지 제조업,02-6232-2544,02-6232-2536,12,이차전기소재및제품,"배터리셀(리튬 이차전지), 배터리팩케이스, 파워케이블, 배터리관리시스템(BMS)"
(주)피엠티이노베이션,"경기도 의왕시 이미로 40,  디동 3층 314호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리  디동 3층 314호,기타 주변기기 제조업 외 2 종,031-719-0792,031-8084-3121,4,"3차원 스캐너, 소프트웨어","근적외선(NIR) Camera, Color Camera, Module, Computer"
(주)하나플래시,"경기도 의왕시 이미로 40, B동 1층 111호 (포일동)",경기도 의왕시 포일동 653번지 B동 1층 111호,기억장치 제조업,02-702-3901,031-8084-3180,8,기억장치 외 3종,"PE, PC, 메탈"
(주)하남아트텍,경기도 의왕시 맑은내길 78-13 (오전동),경기도 의왕시 오전동 184-7번지,기타 조명장치 제조업 외 1 종,070-4848-4305,070-4009-1187,9,"레이빙(응원용 조명기구), 스탠드",LED
(주)하이테크,경기도 의왕시 오전공업길 42-35 (고천동),경기도 의왕시 고천동 390-1번지,주형 및 금형 제조업,031-429-2720,031-429-2740,7,방전가공용 흑연전극,흑연
(주)하픽스,"경기도 의왕시 오전공업길 13, 7층 707호 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 A동 7층 707호,기타 무선 통신장비 제조업 외 1 종,070-7008-8886,070-8805-8886,7,RCU(Remote Control unit),전자부품
(주)한국이디에스,"경기도 의왕시 이동 263-2번지 일원, 의왕테크노파크 산업2-3블록","경기도 의왕시 이동 263-2번지 일원, 의왕테크노파크 산업2-3블록",기타 음향기기 제조업,031-438-0036,031-438-0004,11,DID장비,"첲판, SPC"
(주)한그루,"경기도 의왕시 한밭들1길 11, A동 2층 201-7 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 2층 201-7,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,1661-8746,031-624-0130,2,실내공기정화제 및 산소발생기,
(주)한륜시스템,"경기도 의왕시 한밭들길 25(고천동, (주)한륜시스템)",경기도 의왕시 고천동 398-1 (주)한륜시스템,철도차량 부품 및 관련 장치물 제조업 외 13 종,031-342-0707,031-342-0772,11,"부직포, 인쇄회로기판, 제어보드 부품, 센서, 대기오염 측정기, 컨버터, 전자부품 및 전기회로 기판 등, LED 조명, 공기청정기, 환풍인버터, 공기여과기, 금형틀, 필터, 보조인버터","알루미늄 외, 부직포, PCB, 외함"
(주)한빛티앤아이,경기도 의왕시 고래들길 35-6 (오전동),경기도 의왕시 오전동 129번지,그 외 기타 전자부품 제조업 외 7 종,031-429-8643,031-429-8660,90,스프링커넥터,철
(주)한산테크,경기도 의왕시 옻우물길 30 (오전동),경기도 의왕시 오전동 208번지,반도체 제조용 기계 제조업,031-427-0623,031-427-0624,24,반도체 테스트 소켓,소켓 등
(주)한솔리드텍,"경기도 의왕시 성고개로 53, A동 9층 902 (포일동)",경기도 의왕시 포일동 657-2번지 A동 9층 902,기타 전기 변환장치 제조업 외 6 종,031-5177-7755,031-5177-7756,8,"환경감시장치, 원격접속장치, 원격전원제어장치, 환경감시장치, 수위유속장치, 함체, 교통 신호장치","환경감시장치, 전자부품, 금속"
(주)한진엔지니어링,"경기도 의왕시 이미로 40, D동 5층 509-2호 (포일동) 외 1필지",경기도 의왕시 포일동 653번지 D동 5층 509-2호,배전반 및 전기 자동제어반 제조업 외 3 종,031-422-3190,031-422-3195,7,"전기 자동제어반, 전열케이블 외","전기전자부품, 히팅케이블 부속품, 조립전선, 열전도수지액 등"
(주)해솔피앤씨,"경기도 의왕시 광진말로 54, C동 10층 1009호  (초평동)",경기도 의왕시 초평동 16-6 C동 10층 1009호,유선 통신장비 제조업 외 4 종,,,7,"출입통제시스템, 영상감시장치, 서지보호기, 컴퓨터, 정류기","PCB, LCD 판넬, 콘덴서, 케이블"
(주)현대아이컴퓨터,"경기도 의왕시 경수대로 257, 9층 907 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 9층 907,컴퓨터 제조업 외 4 종,031-450-6579,031-455-6180,4,"개인용컴퓨터, LCD모니터 외","CPU, RAM, HDD, ODD, LCD패널"
(주)현창기업 의왕공장,경기도 의왕시 고천공업로 27 (고천동),경기도 의왕시 고천동 327번지,아스팔트 콘크리트 및 혼합제품 제조업,031-689-5781,031-689-5787,12,아스콘,"아스팔트,골재"
(주)현창기업 의왕공장,경기도 의왕시 고천공업로 27 (고천동),경기도 의왕시 고천동 327번지,레미콘 제조업 외 1 종,031-689-5781,031-689-5787,26,레미콘,레미콘
(주)혜성,경기도 의왕시 한밭들2길 9 (고천동),경기도 의왕시 고천동 332-48번지,주형 및 금형 제조업,031-429-3135,031-429-3427,46,금형,
(주)휴엔스,"경기도 의왕시 오전공업길 13, 13층 1303 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 192-3번지,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 3 종",031-453-4350,031-453-4352,20,"전기,전자기기 수중음향 시험장비","압전세라믹, 코일, 통신케이블 외 각종 전자부품"
(주)희망,"경기도 의왕시 이미로 40, D동 B1층 B103 (포일동)",경기도 의왕시 포일동 653번지 D동 B1층 B103,전시용 모형 제조업 외 9 종,02-575-0433,02-575-2209,7,"금속전시자재, 교시용모형","알루미늄, 철재류, LED, 회로기판"
CJ TOWER,"경기도 의왕시 오봉산단1로 12, 5층 1호(이동)",경기도 의왕시 이동 732 5층 1호,배전반 및 전기 자동제어반 제조업,,0505-491-2601,2,전장품 제어 및 작동 감시장치,"케이블, 전기전자통신부품"
H. A. K,"경기도 의왕시 벌새전리길 36, 2층 (고천동)",경기도 의왕시 고천동 396-1번지,그 외 기타 전자부품 제조업 외 1 종,031-455-5095,031-455-5096,3,금형정밀부품,
KNJ엔지니어링,"경기도 의왕시 오전공업길 19, 대현테크노월드 507호 (오전동)",경기도 의왕시 오전동 174번지 대현테크노월드 507호,"물질 검사, 측정 및 분석기구 제조업 외 1 종",031-451-7082,031-459-7321,11,"Stack Dust Sampler, Stack Gas Sampler",
MYF & B,"경기도 의왕시 성고개로 53, 9층 904호, 905호 (포일동)","경기도 의왕시 포일동 657-2번지 9층 904호, 905호",기타 식품 첨가물 제조업,02-792-0792,050-4486-9810,0,소스류 및 떡볶이 완제품,
NEW-테크,"경기도 의왕시 한밭들1길 11, A동 4층 401 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 4층 401,전자부품 실장기판 제조업 외 1 종,031-427-0901,031-427-0902,9,전자부품 임가공,
㈜인테크디자인,경기도 의왕시 왕곡로 212 (왕곡동),경기도 의왕시 왕곡동 26,전시용 모형 제조업 외 9 종,031-426-9999,031-426-2200,2,"실물모형, 금속 조형물, 조형물, 콘크리트 조형물, 놀이터용 장비, 금속 가구, 목재 가공","금속, 목재"
가이아스 주식회사,"경기도 의왕시 이미로 40, D동 305호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 D동 305호,유선 통신장비 제조업,031-8069-8363,031-8069-8373,14,전력량계,IC부품
거성산업,경기도 의왕시 왕송못동로 11 (삼동),경기도 의왕시 삼동 428-20번지,그 외 기타 금속가공업,031-461-9024,031-461-9025,8,전자부품,
거성정밀(주),"경기도 의왕시 한밭들1길 3 (고천동, 거성정밀(주))",경기도 의왕시 고천동 332-28번지 ,안전유리 제조업 외 1 종,031-459-9400,031-459-9406,25,휴대용 단말기 강화유리,유리(GLASS)
경우실업,경기도 의왕시 부곡시장4길 13 (삼동),경기도 의왕시 삼동 174-6,"플라스틱 포대, 봉투 및 유사제품 제조업",031-461-5157,0505-689-5689,3,비닐봉투,"HDPE, LDPE"
경일산업(주),"경기도 의왕시 한밭들2길 13 (고천동, 경일산업(주))",경기도 의왕시 고천동 332-49번지,그 외 기타 전자부품 제조업,031-458-4203,031-458-4205,27,자동차 전장품,
골드맥스그룹(주),"경기도 의왕시 이미로 40, B동 6층 608 (포일동)",경기도 의왕시 포일동 653번지 B동 6층 608,안경 및 안경렌즈 제조업 외 1 종,031-8084-3607,031-8084-3608,4,입체 및 Secret Image 라벨,"PET FILM, UV RESIN 등"
광학사랑,"경기도 의왕시 경수대로 257, 5층 505 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지,안경 및 안경렌즈 제조업 외 1 종,031-450-6662,031-450-6661,3,정밀광학부품(렌즈조립 및 레이저마킹),
국제내산펌프,경기도 의왕시 월암길 78 (월암동),경기도 의왕시 월암동 296-2번지,액체 펌프 제조업,031-461-4047,031-461-4049,7,펌프,"스텐주조품, 주물, 모터"
그린기업,"경기도 의왕시 맑은내1길 35 (고천동, 그린기업)",경기도 의왕시 고천동 332-36번지,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,031-429-7611,031-381-1748,11,옷걸리,
그인,"경기도 의왕시, C동 8층 씨801호 (포일동)",경기도 의왕시 포일동 653번지 C동 8층 씨801호,분사기 및 소화기 제조업 외 1 종,070-8285-9997,,3,분사기 및 소화기제조업,
기훈테크,경기도 의왕시 옻우물길 30 (오전동),경기도 의왕시 오전동 208번지,금속 절삭기계 제조업,031-454-4993,031-454-4994,6,기계부품,
나무,"경기도 의왕시 오봉산단3로 25, 1동 612호 (삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 612호,주방용 전기기기 제조업,,,1,누룽지기계,알루미늄
나이스몰드 주식회사,경기도 의왕시 오봉산단3로 50 (삼동),경기도 의왕시 삼동 720-0,주형 및 금형 제조업,031-455-0470,031-427-0470,16,"금형, 분리막CORE",금형물
남성특수고무공업사,"경기도 의왕시 맑은내길 89 (오전동, 서원산업)",경기도 의왕시 오전동 135-1번지,고무패킹류 제조업 외 1 종,031-452-0369,031-458-1713,16,중장비용고무팩킹,천연고무
남영PPG,경기도 의왕시 맑은내길 87 (오전동),경기도 의왕시 오전동 136-1번지,기타 판유리 가공품 제조업 외 1 종,031-429-6566,031-429-6569,3,유리금구,유리
네오몰드텍,"경기도 의왕시 옻우물길 25 (오전동, 우성정밀)",경기도 의왕시 오전동 190-11번지,주형 및 금형 제조업,031-427-6696,031-427-6695,7,플라스틱 금형제조,kp-4m
네트플러스(주),"경기도 의왕시 오전공업길 19, 10층 1007 (오전동, 대현테크노월드)",경기도 의왕시 오전동 172-4번지,기타 전기 변환장치 제조업 외 1 종,02-875-8405,031-456-3276,5,무정전전원장치,"철판, 트랜스 등"
네티스시스템(주),"경기도 의왕시 경수대로 257, 3층 7호 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지,배전반 및 전기 자동제어반 제조업,031-455-6179,031-455-6180,5,배전반 및 자동제어장치,
넥스펙트럼,"경기도 의왕시 오봉산단3로 25, 725호(삼동)",경기도 의왕시 삼동 745 725호,기타 광학기기 제조업,031-427-6212,031-462-6888,2,레이저 장비,"광학 및 기계 가공품, 전자부품"
넷인포,"경기도 의왕시 오전공업길 13, 9층 904 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 192-3번지,방송장비 제조업,031-429-1852,031-429-1854,8,Digital Video Recorder(CCTV 녹화장비),"PCB, 전자부품"
농업회사법인(주)좋은술,경기도 의왕시 능안길 96-10 (내손동),경기도 의왕시 내손동 84번지,탁주 및 약주 제조업,031-424-8929,02-6442-7224,6,주류(전통주),쌀
닛시,"경기도 의왕시 맑은내길 81-11, 101호 (오전동)",경기도 의왕시 오전동 132-4번지,주형 및 금형 제조업,031-427-3040,031-427-3042,5,금형,
대도김치,경기도 의왕시 오봉산단2로 22(삼동),경기도 의왕시 삼동 727,김치류 제조업,031-461-4290,031-461-4291,17,김치류,"배추, 무"
대동파이프(주),"경기도 의왕시 이미로 40, C동 9층 909 (포일동)",경기도 의왕시 포일동 653번지 C동 9층 909,"플라스틱 선, 봉, 관 및 호스 제조업",031-426-0490,031-426-0492,8,"플라스틱관 및 부품, 배관자재 및 농업용기자재(급수개폐기,급수전,배수조절기)",플라스틱 등
대림공업사,경기도 의왕시 맑은내길 77-14 (오전동),경기도 의왕시 오전동 138번지,혼성 및 재생 플라스틱 소재 물질 제조업 외 3 종,031-452-1597,031-455-5266,6,p.v.c재생원료,p.v.c원료
대명공업사,"경기도 의왕시 고래들길 43-2 (오전동, 대명공업사)",경기도 의왕시 오전동 140-3번지 ,포장용 유리용기 제조업,031-455-7771,031-455-7773,42,화장품용 유리용기코팅및 인쇄,
대복공업,"경기도 의왕시 벌모루앞길 29 (포일동, 대복공업사)",경기도 의왕시 포일동 602-1번지 대복공업사,금속 가구 제조업 외 1 종,031-426-6484,,4,금속 가공 제조업,
대산기계(주),"경기도 의왕시 철도박물관로 18-9 (삼동, 대신기계)",경기도 의왕시 삼동 436-32번지,그 외 기타 일반목적용 기계 제조업 외 1 종,031-462-7112,031-462-7111,12,자동화기계,
대선금속공업,"경기도 의왕시 옻우물길 34, 경기도 의왕시 옻우물길 34(오전동, (주)NH시스템)",경기도 의왕시 오전동 209-2 (주)NH시스템 경기도 의왕시 옻우물길 34,"금속 문, 창, 셔터 및 관련제품 제조업",031-477-5843,,1,"셔터,건축부척물","철재,스텐레스스틸,알루미늄,실리카원단"
대성기업,"경기도 의왕시 경수대로 257, 608호 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 608호,기타 구조용 금속제품 제조업 외 25 종,031-450-6691,031-450-6692,2,특수공구,
대성기업(주),"경기도 의왕시 안골다리길 7 (고천동, 대성기업)",경기도 의왕시 고천동 286-2번지,주형 및 금형 제조업,031-456-2667,031-452-3012,10,금형 및 시제품,철
대성정밀,"경기도 의왕시 고산로 74, 2층 203 (고천동, 성진아파트형공장)",경기도 의왕시 고천동 407-1번지 성진아파트형공장 2층 203,주형 및 금형 제조업,031-456-9200,031-456-9494,2,금형부품,SKH-51
대승정밀,"경기도 의왕시 경수대로391번길 25 (오전동, MOLDBANK)",경기도 의왕시 오전동 124-3번지,주형 및 금형 제조업,031-456-6242,031-456-6241,3,금형,철강
대연,"경기도 의왕시 오봉산단3로 25, 1동 503호(삼동)",경기도 의왕시 삼동 745 1동 503호,주방용 전기기기 제조업,031-383-6517,,1,가정용전기기기제조업,"ABS, PP, 금속자재"
대종정밀,"경기도 의왕시 고래들길 9 (오전동, 대원몰드) (총 2 필지) 외 1필지",경기도 의왕시 오전동 36번지,기타 물품 취급장비 제조업 외 1 종,031-458-9160,031-458-9163,11,"금형,물품취급장비","철재,철판"
