연번,구분,업체명,업체 주소,생산품,전화번호
917,소기업,(주)한창아이티,"인천광역시 부평구 백범로577번길 20 (십정동, 경인센타) 731~736호",유무선전화기,032-578-5079
918,소기업,(주)해동특수지,"인천광역시 부평구 부평대로 337, 6층 608호,609호,610호,611호(청천동, 부평 제이타워3차 지식산업센터) 6층 608호,609호,610호,611호","북커버, 기타 인쇄물",032-293-5733
919,소기업,(주)해리,인천광역시 부평구 부평대로329번길 92(청천동),금속위생용품 등,032-503-4466
920,소기업,(주)해적아일랜드,인천광역시 부평구 부평대로 293 (청천동) 부평테크시티 9층 903호,"모바일 게임, 콘텐츠 개발",
921,소기업,(주)행복푸드미트,인천광역시 부평구 부평북로 58 (청천동),"허대감왕구이, 허대감돼지막창구이, 허대감양념돈피 외",032-503-5599
922,소기업,(주)향기닥터,"인천광역시 부평구 부평대로 283, B동 B층 103호 (청천동, 부평 우림라이온스밸리), C동B층121호, 122호, 123호, 124호, 125호, 126호 외 6필지","방향용겔(유,수성)",032-623-7210
923,소기업,(주)허니플러그,"인천광역시 부평구 부평대로 293, 904호(청천동, 부평테크시티) 904호",모바일게임,
924,소기업,(주)헬로버디,"인천광역시 부평구 부평대로 337 (청천동) 1260,1261호",온라인 교육,
925,소기업,(주)현대전기산업,"인천광역시 부평구 부평대로 283, A동 3층 308 (청천동, 부평 우림라이온스밸리)",멀티콘센트,
926,소기업,(주)현대하이드로젠테크,"인천광역시 부평구 부평대로 283, A동 6층 608B (청천동, 부평 우림라이온스밸리)",수소수기,032-623-6525
927,소기업,(주)현대하이드로젠테크,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 919호,920호",수소수 자동판매기,032-293-5050
928,소기업,(주)현성에이원,"인천광역시 부평구 부평대로 283, B동 5층 503A (청천동, 부평 우림라이온스밸리) B동 5층 503A호 외 1필지",크린룸,032-623-6634
929,소기업,(주)현준시스템,"인천광역시 부평구 부평대로 337, 4층 427호(청천동, 부평 제이타워3차 지식산업센터) 4층 427호",모리스락 등,032-328-7017
930,소기업,(주)현진어패럴,인천광역시 부평구 동수로 83 (부평동) (총 2 필지),여자용 기성양장,032-527-2851
931,소기업,(주)협진기계,인천광역시 부평구 마장로364번길 37 (청천동),저울,032-512-2434
932,소기업,(주)형제비에이테크,인천광역시 부평구 청천마차로 24 (청천동),핸드폰케이스,032-547-0809
933,소기업,(주)혜성디자인,"인천광역시 부평구 부평대로 283, A동 4층 404호(청천동, 부평우림라이온스밸리) A동 4층 404호","책자, 브로슈어, 포스터 등",032-508-2912
934,소기업,(주)호성건설,"인천광역시 부평구 부평대로 301, 8층 12호 (청천동, 남광센트렉스)",건축 및 토목엔지니어링서비스,032-526-0183
935,소기업,(주)홀리랜드테크놀러지,인천광역시 부평구 배곶로 27 (십정동),"앰프부품, 축전지 등",032-435-1900
936,소기업,(주)홈앤바스,인천광역시 부평구 부평대로329번길 3 (청천동),위생도기 등,02-2661-3690
937,소기업,(주)홍대오마카세,"인천광역시 부평구 부평대로 337, 4층 423호(청천동, 부평 제이타워3차 지식산업센터) 4층 423호 외 2필지",식육가공,
938,소기업,(주)화신이앤비,"인천광역시 부평구 부평대로 283, C동 1207호(청천동, 부평우림라이온스밸리) C동 1207호 외 1필지",임대업,032-623-5691
939,소기업,(주)황금휘날레,인천광역시 부평구 부평대로 283 (청천동) 부평우림라이온스밸리 C동 3층 311호,음성안내 보조장치,032-425-0554
940,소기업,(주)황금휘날레,"인천광역시 부평구 부평대로 301, 5층 511호(청천동, 남광센트렉스) 5층 511호","보행신호 음성안내 보조장치, 소프트웨어 개발 및 공급업, 자료 처리업 등",032-425-0554
941,소기업,(주)황뜰미트,"인천광역시 부평구 백범로577번길 15-19, 1층 일부, 2층 일부 (십정동)",유황삼겹,032-506-0773
942,소기업,(주)효선전기,인천광역시 부평구 평천로255번길 38 (청천동),가로등기구,032-330-8558
943,소기업,(주)효성정밀,인천광역시 부평구 항동로103번길 32 (일신동),기계부품,032-503-8197
944,소기업,(주)효성축산유통,"인천광역시 부평구 부평대로 301, 4층 408-2호, 409호, 410호, 411호(청천동, 남광센트렉스) 4층 408-2호, 409호, 410호, 411호",식품 가공 및 포장처리,032-330-6632
945,소기업,(주)후로셀,"인천광역시 부평구 부평대로 283, C동 3층 306호 (청천동, 부평 우림라이온스밸리) C동 3층 306호",유량계,032-545-5161
946,소기업,(주)휴리스,"인천광역시 부평구 백범로577번길 20, 123호(십정동, 경인센타)","간판, 금속공작물",032-431-9500
947,소기업,(주)휴먼파트너,"인천광역시 부평구 청천마차로 188, 5층(청천동, 가연산업)","보호복, 가운, 의로, 응급처용 들 것, 안변보호구 외 부직포 가공, 페이스실드",032-512-1788
948,소기업,(주)휴먼파트너,"인천광역시 부평구 새벌로 29, 6층 615호(청천동, 부평테크노타워) 6층 615호","일회용 가운, 일회용 보호복 등 ",032-517-1788
949,소기업,(주)휴앤소프트,"인천광역시 부평구 부평대로 301, 6층 604,605 (청천동, 남광센트렉스)","CCTV,스피커 등",032-363-3000
950,소기업,(주)휴젬,"인천광역시 부평구 부평대로 283, C동 5층 502호,503A호,503B호,504호(청천동) C동 5층 502호,503A호,503B호,504호",일회용 의료기기,032-623-5002
951,소기업,(주)휴텍,인천광역시 부평구 평천로37번길 19 (청천동),연삭기,032-509-2752
952,소기업,(주)희수정보통신,"인천광역시 부평구 가재울로 129, 제1동 104호 (십정동, 테크노1공장)","전광판, CCTV, 마이크 등",070-8740-8898
953,소기업,(주)희창,"인천광역시 부평구 평천로37번길 16, (주)희창 (청천동)","항온항습기, 공기정화기, 플라스틱 사출 성형",032-814-2277
954,소기업,(주)히든베이트,"인천광역시 부평구 주부토로 236, 제디동 703호(갈산동, 인천테크노밸리 U1센터) 제디동 703호",소프트베이트,
955,소기업,(주)히팅온,"인천광역시 부평구 주부토로 236, 제비동 9층 917호(갈산동) 제비동 9층 917호",동파방지열선 KIT,032-270-6461
956,소기업,(주)힌지코리아,인천광역시 부평구 부평대로313번길 83 (청천동),개페장치,032-521-7878
957,소기업,(주엠엘이엔씨,"인천광역시 부평구 새벌로 44, 4층 (청천동)",등기구,
958,소기업,2000엔지니어링,"인천광역시 부평구 부평대로 283, 외7필지 B 209호 (청천동)",렌즈 CASE,032-623-6646
959,소기업,AACO(아코),인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 832호,"접착체 충전,포장",
960,소기업,ACETEC,"인천광역시 부평구 부평대로 301, 4층 414호 (청천동, 남광센트렉스)",핸드폰부품,032-556-3191
961,소기업,AD테크,"인천광역시 부평구 안남로418번길 27, 1층 (청천동)",프라스틱,
962,소기업,B2B ,인천광역시 부평구 부평대로313번길 18 (청천동) 2층,의류 등,032-574-4562
963,소기업,BJW HI-TECH,"인천광역시 부평구 안남로418번길 7, 414-3 (청천동)",유압실린더,032-330-3621
964,소기업,CMS,"인천광역시 부평구 부평대로 283, 우림라이온스밸리 C동 B111,B220,B221호 (청천동)",기계부품,032-623-6523
965,소기업,CMS,"인천광역시 부평구 부평대로 301, B층 113호 (청천동, 남광센트렉스) B층 113호","반도체 장비, LED 부품 등",032-363-3611
966,소기업,CM테크,"인천광역시 부평구 새벌로 29, 104호(청천동, 부평테크노타워) 104호",휴즈,032-719-8997
967,소기업,COMCON,"인천광역시 부평구 부평대로 283, B동 B1층 B105호 (청천동, 부평 우림라이온스밸리)",산업용 로봇,070-8638-7114
968,소기업,CV무역,"인천광역시 부평구 부평대로 301, 4층 424호(청천동, 남광센트렉스) 4층 424호",스크린 인쇄 등,
969,소기업,D&Z,인천광역시 부평구 부개동 299번지 2층,"다이아디스크, FG바",032-526-6369
970,소기업,DSC MOLD,"인천광역시 부평구 부평대로 283, B동 B1층 120 (청천동, 부평 우림라이온스밸리)",프라스틱금형,
971,소기업,DS이엔지,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1151호,환경설비 전기판넬(전기제어반),
972,소기업,EIS CORPORATION,"인천광역시 부평구 부평대로 301, 7층 708호 (청천동, 남광센트렉스)",의료용품,
973,소기업,GMS (지엠에스),인천광역시 부평구 청천동 385-5번지,화장품,032-624-2828
974,소기업,GQ테크,"인천광역시 부평구 서달로298번길 33-26, 1, 2층 (청천동)",건축자재 이형압출 및 손끼임방지,032-555-9760
975,소기업,GS ENG,"인천광역시 부평구 부평대로 283, 우림라이온스밸리 B동 407호 (청천동)",온도센서,032-623-7166
976,소기업,HS산업,"인천광역시 부평구 부평대로 283, C동 3층 310C (청천동, 부평 우림라이온스밸리)",전기회로,032-623-5236
977,소기업,INNO,"인천광역시 부평구 부평대로 283 (청천동) 부평우림라이온스밸리 B동 7층 708호, 709호, 710호",휴대폰 보호케이스외,032-574-9096
978,소기업,J&B상사,"인천광역시 부평구 부평대로 283, 우림라이온스벨리 C동 B125호, B126호 (청천동)",축전지,032-672-6381
979,소기업,JN TECH,인천광역시 부평구 백범로577번길 15-8 (십정동),금형부품,032-575-5712
980,소기업,MJ FOOD,"인천광역시 부평구 부평대로313번길 84, 1층 (청천동)",막국수양념,
981,소기업,MODU System(모두시스템),"인천광역시 부평구 부평대로 337, 7층 747호(청천동, 부평 제이타워3차 지식산업센터) 7층 747호","차단바, 차단기 등",032-293-5730
982,소기업,MS테크,인천광역시 부평구 새벌로 29 (청천동) 4층 417호,"UV램프, 시스템",032-677-6362
983,소기업,NS스크린,인천광역시 부평구 평천로199번길 34 (청천동),스크린인쇄,032-505-3907
984,소기업,New Ocean Media,인천광역시 부평구 부평대로 337 (청천동) 724호,비디오물 제작,070-4610-4544
985,소기업,PEN아저씨,"인천광역시 부평구 평천로255번길 13, 4층 401호, 402호 (청천동) 4층 401호, 402호","샌드라이트, 아트라이트, 포토라이트",032-675-9378
986,소기업,S. L Tech,"인천광역시 부평구 백범로577번길 20, 경인센타 공장 542호 (십정동)",통신케이블하네스,032-868-9395
987,소기업,S.C 테크윈,"인천광역시 부평구 부평대로 337, 4층 429호(청천동, 부평 제이타워3차 지식산업센터) 4층 429호 외 1필지",부동산 임대,
988,소기업,SCP,"인천광역시 부평구 부평대로 283, C동 4층 408호 (청천동, 부평 우림라이온스밸리) C동 4층 408호",임대업,
989,소기업,SH테크,"인천광역시 부평구 부평대로329번길 46 (청천동, 펌텍코리아(주))",화장품 용기,032-681-2136
990,소기업,SH테크,인천광역시 부평구 서달로298번길 98 (청천동),"전자부품,재봉기부품,기계부품,전동구부품",032-508-4677
991,소기업,SP전자,"인천광역시 부평구 부평대로 337, 5층 550호(청천동, 부평 제이타워3차 지식산업센터) 5층 550호","전자센서, 발전기용 점화기",
992,소기업,SQ Tech,"인천광역시 부평구 부평대로 283, 1001호 (청천동)",호환성공구,032-623-7800
993,소기업,The-마크M,인천광역시 부평구 평천로 251 (청천동),지식산업센터 부동산공급,
994,소기업,UMAX CORPORATION,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 914호,LED 전자부품,032-234-0400
995,소기업,WEL TECH,"인천광역시 부평구 부평대로 301, 5층 505호 (청천동, 남광센트렉스)",배전기 및 전기제어기기 부품,032-579-6664
996,소기업,WS테크,"인천광역시 부평구 부평대로 283, B동 6층 B-601호(청천동, 부평우림라이온스밸리) B동 6층 B-601호 외 2필지","자동제어반, 판넬제작",032-623-5080
997,소기업,YH팩토리,"인천광역시 부평구 평천로199번길 34, 2층 (청천동)",장난감,
998,소기업,㈜광명무역,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 9층 918호,소프트웨어 개발 및 공급,070-7700-3456
999,소기업,㈜뉴스토리,"인천광역시 부평구 부평대로 283, C동 2층 208호(청천동, 부평우림라이온스밸리) C동 2층 208호",콜센터 및 텔레마케팅,
1000,소기업,㈜도르모르,"인천광역시 부평구 새벌로 28, 3층(청천동)",침구 관련 제품(이불),032-512-6191
1001,소기업,㈜디케이엔지,"인천광역시 부평구 부평대로 301, 9층 905호, 906호호(청천동, 남광센트렉스) 9층 905호, 906호호","생산자동화설비, 생산기술 엔지니어링 컨설팅",070-4290-5359
1002,소기업,㈜메가커머스,"인천광역시 부평구 부평대로 293, 8층 804호(청천동, 부평테크시티) 8층 804호",근무복,032-543-6311
1003,소기업,㈜바스코 아이씨티,"인천광역시 부평구 주부토로 236, C동 1817호(갈산동, 인천테크노밸리 U1센터) C동 1817호",디지털 전력량계,
